id,name,lat_degree,lat_minute,lat_seconds,lat_direction,long_degree,long_minute,long_seconds,long_direction,LAT,LONG,altitude
1,,0,8,9.357,S,78,28,31.945,W,,,
2,,10,38,27.42,N,61,22,51.969,W,,,
3,,12,5,7.52,S,77,0,26.258,W,,,
4,,12,5,7.52,S,77,0,26.262,W,,,
5,,13,43,13.213,N,89,12,0.835,W,,,
6,,14,1,26.419,N,60,58,33.704,W,,,
7,,14,35,24.774,N,90,32,31.394,W,,,
8,,16,30,1.043,S,68,7,57.024,W,,,
9,,17,15,13.707,N,88,46,46.66,W,,,
10,,17,17,55.42,N,62,44,2.565,W,,,
11,,17,7,34.395,N,61,49,18.409,W,,,
12,,18,0,40.715,N,76,47,32.836,W,,,
13,,18,20,48.248,N,66,45,12.361,W,,,
14,,18,27,57.917,N,69,53,44.116,W,,,
15,,20,32,13.2,N,100,15,16.83,W,,,
16,,20,32,13.275,N,100,15,17.204,W,,,
17,,20,32,13.29,N,100,15,17.238,W,,,
18,,20,32,13.303,N,100,15,17.194,W,,,
19,,20,32,13.317,N,100,15,17.213,W,,,
20,,20,32,13.373,N,100,15,17.204,W,,,
